"length","maxPageLimit","data__areaType","data__areaName","data__areaCode","data__date","data__femaleCases__age","data__femaleCases__value","data__femaleCases__rate","data__maleCases__age","data__maleCases__value","data__maleCases__rate","pagination__current","pagination__next","pagination__previous","pagination__first","pagination__last"
"","","","","","","70_to_74","1667","1138.8","55_to_59","4362","1557.3","","","","",""
"","","","","","","25_to_29","8972","3182.1","60_to_64","3531","1848.6","","","","",""
"","","","","","","50_to_54","5032","1703.7","40_to_44","5156","1274.9","","","","",""
"","","","","","","0_to_4","1296","438.4","80_to_84","1815","2769.7","","","","",""
"","","","","","","85_to_89","1643","2954.8","35_to_39","5934","1380.7","","","","",""
"","","","","","","60_to_64","2948","1473.6","30_to_34","7216","1878.1","","","","",""
"","","","","","","65_to_69","1980","1201.7","20_to_24","5723","2378.6","","","","",""
"","","","","","","10_to_14","2162","734.9","5_to_9","1370","564.4","","","","",""
"","","","","","","45_to_49","5334","1653.5","0_to_4","1399","450.7","","","","",""
"","","","","","","15_to_19","4624","1763.8","25_to_29","7412","2614.7","","","","",""
"","","","","","","35_to_39","6249","1530.4","15_to_19","4103","1489.6","","","","",""
"","","","","","","55_to_59","4280","1491.8","50_to_54","4710","1563.5","","","","",""
"","","","","","","75_to_79","1544","1448.1","45_to_49","4873","1439.8","","","","",""
"","","","","","","5_to_9","1239","490.2","90+","926","4701","","","","",""
"","","","","","","40_to_44","5549","1471.5","65_to_69","2419","1632.7","","","","",""
"","","","","","","90+","1644","4354","70_to_74","2107","1656.8","","","","",""
"","","","","","","80_to_84","1643","1926.5","75_to_79","1834","2115.7","","","","",""
"","","","","","","20_to_24","7051","3106.1","85_to_89","1437","3795.9","","","","",""
"","","region","London","E12000007","2020-11-17","55_to_59","4217","1469.8","0_to_4","1372","442","","","","",""
"","","","","","","25_to_29","8856","3141","15_to_19","4011","1456.2","","","","",""
"","","","","","","40_to_44","5427","1439.1","50_to_54","4636","1538.9","","","","",""
"","","","","","","60_to_64","2904","1451.6","40_to_44","5066","1252.7","","","","",""
"","","","","","","0_to_4","1259","425.9","90+","918","4660.4","","","","",""
"","","","","","","75_to_79","1529","1434","60_to_64","3481","1822.4","","","","",""
"","","","","","","15_to_19","4520","1724.2","65_to_69","2391","1613.9","","","","",""
"","","","","","","50_to_54","4946","1674.6","25_to_29","7294","2573.1","","","","",""
"","","","","","","35_to_39","6130","1501.2","20_to_24","5616","2334.2","","","","",""
"","","","","","","10_to_14","2085","708.8","45_to_49","4772","1409.9","","","","",""
"","","","","","","65_to_69","1947","1181.6","85_to_89","1424","3761.5","","","","",""
"","","","","","","30_to_34","7672","1988.7","70_to_74","2085","1639.5","","","","",""
"","","","","","","70_to_74","1646","1124.5","75_to_79","1821","2100.7","","","","",""
"","","","","","","45_to_49","5241","1624.7","10_to_14","2247","727.6","","","","",""
"","","","","","","85_to_89","1636","2942.2","35_to_39","5827","1355.8","","","","",""
"","","","","","","80_to_84","1625","1905.4","5_to_9","1330","547.9","","","","",""
"","","","","","","5_to_9","1208","478","55_to_59","4299","1534.8","","","","",""
